celex,readable_name,cluster_id,cluster_name
32002L0065,Distance Marketing of Financial Services Directive [Directive 2002/65/EC],6,"Banking, Payments, Insurance & AML"
32002L0077,Directive 2002/77/EC,19,Other
32002L0083,Directive 2002/83/EC,19,Other
32002L0087,Financial Conglomerates Directive [Directive 2002/87/EC],19,Other
32002L0092,Insurance Mediation Directive [Directive 2002/92/EC],19,Other
32002L0098,Blood Safety Directive [Directive 2002/98/EC],19,Other
32002R0006,Community Designs Regulation [Regulation (EC) No 6/2002],19,Other
32002R0178,General Food Law Regulation [Regulation (EC) No 178/2002],19,Other
32002R0881,Regulation (EC) No 881/2002,19,Other
32002R1406,EMSA Regulation [Regulation (EC) No 1406/2002],11,Transport & Mobility
32002R2099,Regulation (EC) No 2099/2002,19,Other
32002R2195,Common Procurement Vocabulary Regulation [Regulation (EC) No 2195/2002],19,Other
32002R2321,Regulation (EC) No 2321/2002,19,Other
32002R2368,Kimberley Process Regulation [Regulation (EC) No 2368/2002],19,Other
32002R2371,Regulation (EC) No 2371/2002,19,Other
32003L0004,Environmental Information Access Directive [Directive 2003/4/EC],19,Other
32003L0006,Market Abuse Directive [Directive 2003/6/EC],19,Other
32003L0008,Legal Aid Directive [Council Directive 2002/8/EC],19,Other
32003L0010,Noise at Work Directive [Directive 2003/10/EC],19,Other
32003L0033,Tobacco Advertising Directive [Directive 2003/33/EC],19,Other
32003L0037,Directive 2003/37/EC,19,Other
32003L0041,IORP Directive [Directive 2003/41/EC],19,Other
32003L0042,Directive 2003/42/EC,19,Other
32003L0059,Professional Drivers Directive [Directive (EEC) No 3820/85],19,Other
32003L0071,Prospectus Directive [Directive 2003/71/EC],19,Other
32003L0086,Family Reunification Directive [Directive 2003/86/EC],19,Other
32003L0087,EU Emissions Trading Directive [Directive 2003/87/EC],19,Other
32003L0088,Working Time Directive [Directive 2003/88/EC],19,Other
32003L0098,PSI Re-Use Directive [Directive 2003/98/EC] [repealed by Open Data Directive],19,Other
32003L0109,Long-Term Residents Directive [Directive 2003/109/EC],19,Other
32003R0001,Antitrust Enforcement Regulation [Regulation (EC) No 1/2003],19,Other
32003R0146,Regulation (EC) No 146/2003,19,Other
32003R0147,Regulation (EC) No 147/2003,19,Other
32003R0343,Dublin II Regulation [Regulation (EC) No 343/2003],19,Other
32003R0450,Regulation (EC) No 450/2003,19,Other
32003R0561,Regulation (EC) No 561/2003,19,Other
32003R0693,Regulation (EC) No 693/2003,19,Other
32003R0694,Regulation (EC) No 694/2003,19,Other
32003R0807,Regulation (EC) No 807/2003,19,Other
32003R0859,Regulation (EC) No 859/2003,19,Other
32003R1210,Regulation (EC) No 1210/2003,19,Other
32003R1560,Regulation (EC) No 1560/2003,19,Other
32003R1798,Regulation (EC) No 1798/2003,19,Other
32003R1830,GMO Traceability and Labelling Regulation [Regulation (EC) No 1830/2003],19,Other
32003R1831,Feed Additives Regulation [Regulation (EC) No 1831/2003],19,Other
32003R1882,Comitology Adaptation Regulation [Regulation (EC) No 1882/2003],15,EU Institutional Framework & Funding
32003R1946,GMO Transboundary Movements Regulation [Regulation (EC) No 1946/2003],19,Other
32003R1954,Regulation (EC) No 1954/2003,19,Other
32003R1984,Regulation (EC) No 1984/2003,19,Other
32003R2004,European Political Parties Regulation [Regulation (EC) No 2004/2003],19,Other
32003R2065,Smoke Flavourings Regulation [Regulation (EC) No 2065/2003],19,Other
32003R2160,Salmonella Regulation [Regulation (EC) No 2160/2003],19,Other
32003R2201,Brussels II Regulation [Council Regulation (EC) No 2201/2003] [repealed by Brussels II Ter Regulation],19,Other
32004L0009,Good Laboratory Practice Directive [Directive 2004/9/EC],19,Other
32004L0012,Directive 2004/12/EC,19,Other
32004L0017,Utilities Directive [Directive 2004/17/EC],19,Other
32004L0018,Public Procurement Directive [Directive 2004/18/EC],19,Other
32004L0023,Human Tissues and Cells Directive [Directive 2004/23/EC],13,"Health, Medicines & Life Sciences"
32004L0025,Takeover Bids Directive [Directive 2004/25/EC],19,Other
32004L0027,Directive 2004/27/EC,19,Other
32004L0038,Free Movement Directive [Directive (EEC) No 1612/68],19,Other
32004L0039,MiFID - Markets in Financial Instruments Directive [Directive 2004/39/EC] [repealed by MiFID II],19,Other
32004L0042,Decopaint Directive [Directive 2004/42/CE],19,Other
32004L0048,IP Enforcement Directive [Directive 2004/48/EC],8,Intellectual Property
32004L0048R(01),Directive 2004/48 [Corrigendum],19,Other
32004L0049,Railway Safety Directive [Directive 2004/49/EC],19,Other
32004L0054,Tunnel Safety Directive [Directive 2004/54/EC],19,Other
32004L0066,Council Directive 2004/66/EC,19,Other
32004L0080,Compensation Directive [Council Directive 2004/80/EC],19,Other
32004L0081,Directive 2004/81/EC,19,Other
32004L0082,Council API Directive [Council Directive 2004/82/EC],19,Other
32004L0083,Qualification Directive [Directive 2004/83/EC],19,Other
32004L0109,Transparency Directive [Directive 2004/109/EC],5,"Financial Markets, Investment & Capital"
